DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/29/2016,7:45,BROOKLYN,11217,40.68358,-73.97617,"(40.68358, -73.97617)",,,620       ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3529499,TAXI,PASSENGER VEHICLE,,,
09/29/2016,7:45,BROOKLYN,11208,40.67134,-73.88195,"(40.67134, -73.88195)",SUTTER AVENUE                   ,LINWOOD STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,,,,3529314,TAXI,,,,
09/29/2016,7:40,BROOKLYN,11220,40.635494,-74.00957,"(40.635494, -74.00957)",60 STREET                       ,8 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3529613,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,7:40,,,40.729572,-73.83383,"(40.729572, -73.83383)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Pavement Defective,Unspecified,,,,3530452,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/29/2016,7:40,,,40.72823,-73.83313,"(40.72823, -73.83313)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Pavement Defective,Unspecified,,,,3530039,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
09/29/2016,7:35,QUEENS,11373,40.736748,-73.87305,"(40.736748, -73.87305)",90 STREET                       ,55 AVENUE,,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3529982,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,7:35,,,40.696037,-73.968414,"(40.696037, -73.968414)",PARK AVENUE                     ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,3529329,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,7:30,BROOKLYN,11217,40.68787,-73.978355,"(40.68787, -73.978355)",FULTON STREET                   ,ASHLAND PLACE,,1,0,0,0,0,0,1,0,Unspecified,,,,,3529330,Bus,,,,
09/29/2016,7:30,,,40.602974,-74.1629,"(40.602974, -74.1629)",,,1845      RICHMOND AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3529385,TAXI,PASSENGER VEHICLE,,,
09/29/2016,7:30,,,40.76747,-73.75961,"(40.76747, -73.75961)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3529567,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,,
09/29/2016,7:30,,,40.60226,-74.003075,"(40.60226, -74.003075)",BAY 22 STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3529395,SPORT UTILITY / STATION WAGON,,,,
09/29/2016,7:30,QUEENS,11375,40.724556,-73.84688,"(40.724556, -73.84688)",69 AVENUE                       ,YELLOWSTONE BOULEVARD,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3529301,PASSENGER VEHICLE,,,,
